fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,April,31,UTTAR PRADESH,3121,FIROZABAD,125102,152.993549263801,15,8,0,91,212,15529,125102,46648,39730,56,118,0,191.39799,7964,8411,89000,108444,0,213416,263010,15620,191.39799,51461,33,69.45,53.73,99.23,NA
2021-2022,April,31,UTTAR PRADESH,3124,BUDAUN,74759,189.59254404152,15,11,0,344,745,17142,74759,13592,44737,175,159,0,141.73749,4920,5199,156446,205446,0,315911,412192,17486,141.73749,18498,21,42.55,34.16,101.52,NA
2021-2022,April,31,UTTAR PRADESH,3126,PILIBHIT,195164,168.732860423159,21,20,0,2104,118,18832,195104,39980,51961,615,567,0,329.20456,9025,12376,169204,268632,0,315167,464690,20936,329.20456,69803,56,50.59,14.96,105.05,NA
2021-2022,April,31,UTTAR PRADESH,3128,KHERI,361363,154.078919035612,18,47,0,981,246,65602,361307,136608,186973,2543,8882,0.2464,556.94432,19821,25601,342230,528879,0,668336,954979,66583,556.69792,137031,73,85.26,18.43,102.75,NA
2021-2022,April,31,UTTAR PRADESH,3135,ETAWAH,88750,216.291211267606,15,3,0,360,128,17300,88750,30246,52280,122,215,0,191.95845,5686,6001,103691,138450,0,200982,262927,17660,191.95845,23646,33,55.22,56.98,133.13,NA
2021-2022,April,31,UTTAR PRADESH,3139,JHANSI,192042,150.277907957634,23,37,0,428,51,21988,192042,84761,86151,2737,1995,0,288.5967,8039,11122,129780,240153,0,226497,431562,22416,288.5967,85294,60,76.75,17.44,100.77,NA
2021-2022,April,31,UTTAR PRADESH,3146,BAHRAICH,746300,142.797596546854,21,28,0,682,57,41563,746218,123051,80092,3661,3346,0,1065.581369,35137,40077,308974,447105,8,651618,878796,42245,1065.581369,333863,79,45.84,28.73,100.15,NA
2021-2022,April,31,UTTAR PRADESH,3147,GONDA,168199,130.356274701205,17,13,0,975,704,36009,168008,44879,56294,506,584,0,219.00897,9555,10390,213329,257463,0,441849,522213,36984,219.00897,79995,62,65.14,40.11,119.93,NA
2021-2022,April,31,UTTAR PRADESH,3148,BARABANKI,314065,173.345710346057,21,24,0,874,291,35505,314023,124144,139053,113,205,0,544.3454,14873,18058,234261,343652,0,512809,729527,36379,544.3454,134227,53,42.86,20.69,101.4,NA
2021-2022,April,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,387065,163.949922697032,17,24,0,860,264,38074,386143,92001,74959,278,334,0,633.08115,21657,23758,300707,376198,0,503316,628994,38934,633.08115,206077,47,62.72,39.67,106.29,NA
2021-2022,April,31,UTTAR PRADESH,3153,BASTI,362154,186.562032044199,19,23,0,663,234,52167,362000,91478,95701,164,210,0,675.354556,18876,21416,294353,411196,0,521251,716109,52830,675.354556,177470,59,69.44,28.6,113.15,NA
2021-2022,April,31,UTTAR PRADESH,3164,GAUTAM BUDDHA NAGAR,42,201,21,0,0,1,86,128,42,0,556,0,16,0,0.08442,2,3,1217,1543,0,16768,19349,129,0.08442,21,20,100,0,119.61,NA
2021-2022,April,31,UTTAR PRADESH,3166,HATHRAS,42593,173.016199845045,18,2,0,150,152,7482,42593,11704,25505,88,81,0,73.69279,2320,2884,62183,91144,0,99174,139193,7632,73.69279,13858,20,64.21,23.52,141.76,NA
2021-2022,April,31,UTTAR PRADESH,3167,AMROHA,18350,555.42,20,1,0,362,323,7237,18350,6698,51303,0,79,0,101.91957,906,1167,113546,180251,0,174378,276422,7599,101.91957,9079,32,62.39,15.43,112.64,NA
2021-2022,April,31,UTTAR PRADESH,3171,CHANDAULI,147366,213.553251767708,17,15,0,264,123,25039,147366,47096,83186,735,1084,0,314.704885,8425,10536,139552,249376,0,280577,508012,25303,314.704885,54065,46,70.09,41.5,113.52,NA
2021-2022,April,31,UTTAR PRADESH,3172,KUSHI NAGAR,479547,159.829401497663,16,114,0.004,4283,211,36739,479547,139220,105574,516,573,0,766.4611,28347,32614,239074,359873,0,488329,681276,41022,766.4571,181639,37,73.62,68.43,110,NA
