fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2020-2021,Dec,31,UTTAR PRADESH,3117,BULANDSHAHR,963385,187.047182908063,20,51,65.546836025,1041,4,7244,935131,195770,15916,896,59,10.25936,1824.942388025,45377,49258,55703,70684,119,144761,179448,8285,1749.136192,188963,10,73.44,82.28,117.12,NA
2020-2021,Dec,31,UTTAR PRADESH,3129,SITAPUR,9212752,192.314858023832,40,699,10918.446277417,24099,1,53677,11053334,4231315,332134,17521,1165,531.74076,32707.390626417,270543,356543,422002,799603,12648,799533,1321869,77776,21257.203589,2976048,71,62.11,56.09,102.61,NA
2020-2021,Dec,31,UTTAR PRADESH,3134,FARRUKHABAD,2712320,194.670132560861,38,132,1184.027158571,5298,0,9103,2814858,389332,19131,3967,174,140.4672,6804.182158571,72207,78556,97234,125336,1110,200970,246296,14401,5479.6878,488987,38,67.87,64.7,103.6,NA
2020-2021,Dec,31,UTTAR PRADESH,3137,KANPUR NAGAR,1414712,192.789255192489,33,157,522.540990102,1037,0,9610,1850317,727543,56110,29815,2365,103.39422,4193.147573102,55165,67193,77235,138129,1095,222999,334075,10647,3567.212363,319631,36,56.46,66.39,103.34,NA
2020-2021,Dec,31,UTTAR PRADESH,3149,AYODHYA,3823088,191.367416583906,36,214,4382.002924935,6221,3,20618,4956058,1927895,105766,8650,477,312.24677,14178.529853935,134069,159694,172983,274776,3134,281996,414023,26839,9484.280159,1849136,54,65.75,56.14,101.94,NA
2020-2021,Dec,31,UTTAR PRADESH,3153,BASTI,8580397,189.89831191423,42,246,9752.65950608198,13168,11,38669,9966259,2132355,105793,4443,233,328.96947,29007.386578082,236897,279341,316509,457199,3176,495441,685703,51837,18925.757602,4292039,50,69.64,61.68,101.49,NA
2020-2021,Dec,31,UTTAR PRADESH,3156,MAU,4629914,193.984204073551,36,442,3377.342431314,4150,2,8784,5287819,1487889,77498,36281,1682,215.58216,13850.458191314,146277,165505,194812,261977,2285,312577,401514,12934,10257.5336,2328704,40,78.54,80.38,102.51,NA
2020-2021,Dec,31,UTTAR PRADESH,3157,AZAMGARH,8029135,191.347047765655,33,339,7645.04547682801,14493,0,31580,8808735,3475774,169243,22369,887,486.63064,24986.930484828,260312,283816,348708,429042,2889,663771,778927,46073,16855.254368,3476034,54,66.28,59.48,101.89,NA
2020-2021,Dec,31,UTTAR PRADESH,3160,GHAZIPUR,7384124,193.337547598481,35,252,3016.39910138,7611,1,29775,7513370,1892184,107311,48050,2557,391.06188,17933.62628138,213393,255327,255777,390140,3369,479774,687330,37386,14526.1653,2701098,50,68.23,58.82,109.87,NA
2020-2021,Dec,31,UTTAR PRADESH,3161,VARANASI,2422225,189.890941205911,29,171,1560.871892105,6078,24,15733,2457645,898623,67723,9585,852,176.42916,6404.146274105,83196,110391,101471,182416,673,197576,305992,21811,4666.845222,1026719,56,39.37,41.09,102.77,NA
